,soup
1031,"['emile hirsch', 'marcia gay harden', 'william hurt', 'jena malone', 'brian h. dierker'] sean penn ['male nudity', 'parents kids relationship', 'camping', 'cutting the cord', 'self-discovery'] the true story of top student and athlete, christopher mccandless, who after graduating from emory university in 1992, abandoned his possessions, gave his entire $24,000 savings account to charity and hitchhiked to alaska to live in the wilderness. into the wild  ['action', 'adventure', 'drama']"
1032,"['gerard butler', 'lena headey', 'dominic west', 'david wenham', 'vincent regan'] zack snyder ['evisceration', 'javelin', 'shield', 'army', 'fall from height'] based on frank miller's graphic novel, ""300"" is very loosely based the 480 b.c. battle of thermopylae, where the king of sparta led his army against the advancing persians; the battle is said to have inspired all of greece to band together against the persians, and helped usher in the world's first democracy. 300  ['action', 'fantasy', 'war', 'imax']"
1033,"['nicolas cage', 'eva mendes', 'wes bentley', 'donal logue', 'sam elliott'] mark steven johnson ['mephisto', 'religion and supernatural', 'dying and death', ""devil's son"", 'ghost world'] in order to save his dying father, young stunt cyclist, johnny blaze sells his soul to mephistopheles and sadly parts from the pure-hearted, roxanne simpson, the love of his life. years later, johnny's path crosses again with roxanne, now a go-getting reporter, and also with mephistopheles, who offers to release johnny's soul if johnny becomes the fabled, fiery 'ghost rider'. ghost rider  ['action', 'fantasy', 'thriller']"
1034,"['ellen page', 'michael cera', 'jennifer garner', 'jason bateman', 'allison janney'] jason reitman ['sexuality', 'becoming an adult', 'puberty', 'first time', 'oscar award'] a young girl named juno gets herself pregnant and tries to stand on her own, but soon learns a few lessons about being grown up. juno  ['comedy', 'drama', 'romance']"
1035,"['mark wahlberg', 'michael peã±a', 'danny glover', 'kate mara', 'elias koteas'] antoine fuqua ['corruption', 'sniper', 'senator', 'conspiracy of murder', 'childlessness'] a marksman living in exile is coaxed back into action after learning of a plot to kill the president. ultimately double-crossed and framed for the attempt, he goes on the run to track the real killer and find out who exactly set him up, and why. shooter  ['action', 'drama', 'thriller']"
1036,"['keira knightley', 'james mcavoy', 'romola garai', 'saoirse ronan', 'brenda blethyn'] joe wright ['based on novel', 'sister sister relationship', 'flirt', 'loss of sister', 'new love'] as a 13-year-old, fledgling writer briony tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit. atonement  ['drama', 'romance', 'war']"
1037,"['daniel day-lewis', 'paul dano', 'dillon freasier', 'ciarã¡n hinds', ""kevin j. o'connor""] paul thomas anderson ['brother brother relationship', 'deaf-mute', 'american dream', 'fanatic', 'pipeline'] when ruthless oil prospector, daniel plainview learns of oil-rich land in california that can be bought cheaply, he moves his operation there and begins manipulating and exploiting the local landowners into selling him their property. using his young adopted son to project the image of a caring family man, plainview gains the cooperation of almost all the locals with lofty promises to build schools and cultivate the land to make their community flourish. over time, plainview's gradual accumulation of wealth and power causes his true self to surface, and he begins to slowly alienate himself from everyone in his life. there will be blood  ['drama', 'western']"
1038,"['denzel washington', 'russell crowe', 'chiwetel ejiofor', 'josh brolin', 'lymari nadal'] ridley scott ['underdog', 'black people', 'drug traffic', 'drug smuggle', 'society'] following the death of his employer and mentor, bumpy johnson, frank lucas establishes himself as the number one importer of heroin in the harlem district of manhattan. he does so by buying heroin directly from the source in south east asia and he comes up with a unique way of importing the drugs into the united states. based on a true story. american gangster  ['crime', 'drama', 'thriller']"
1039,"['simon pegg', 'nick frost', 'timothy dalton', 'jim broadbent', 'paddy considine'] edgar wright ['village', 'arrest', 'police', 'partner', 'murder'] top london cop, pc nicholas angel is good. too good.  to stop the rest of his team from looking bad, he is reassigned to the quiet town of sandford, paired with simple country cop, and everything seems quiet until two actors are found decapitated. it is addressed as an accident, but angel isn't going to accept that, especially when more and more people turn up dead. hot fuzz  ['action', 'comedy', 'crime', 'mystery']"
1040,"['mike myers', 'eddie murphy', 'cameron diaz', 'julie andrews', 'antonio banderas'] chris miller|raman hui ['ambush', 'sadness', 'stage', 'liberation of prisoners', 'island'] the king of far far away has died and shrek and fiona are to become king &amp; queen. however, shrek wants to return to his cozy swamp and live in peace and quiet, so when he finds out there is another heir to the throne, they set of to bring him back to rule the kingdom. shrek the third  ['adventure', 'animation', 'children', 'comedy', 'fantasy']"
1041,"['johnny depp', 'helena bonham carter', 'alan rickman', 'timothy spall', 'sacha baron cohen'] tim burton ['confession', 'corset', 'asylum', 'razor', 'villain'] the infamous story of benjamin barker, a.k.a sweeney todd, who sets up a barber shop down in london which is the basis for a sinister partnership with his fellow tenant, mrs. lovett. based on the hit broadway musical. sweeney todd: the demon barber of fleet street  ['drama', 'horror', 'musical', 'thriller']"
1042,"['jonah hill', 'michael cera', 'christopher mintz-plasse', 'bill hader', 'seth rogen'] greg mottola ['becoming an adult', 'high school', 'young people', 'one night'] high school best buddies are facing separation anxiety as they prepare to go off to college. while attempting to score alcohol for a party with help from a fake id-toting friend, the guys' evening takes a turn into chaotic territory. superbad  ['comedy']"
1043,"['jerry seinfeld', 'renã©e zellweger', 'matthew broderick', 'patrick warburton', 'john goodman'] steve hickner|simon j. smith ['factory worker', 'tennis', 'flower', 'florist', 'flower shop'] barry b. benson, a bee who has just graduated from college, is disillusioned at his lone career choice: making honey. on a special trip outside the hive, barry's life is saved by vanessa, a florist in new york city. as their relationship blossoms, he discovers humans actually eat honey, and subsequently decides to sue us. bee movie  ['animation', 'comedy']"
1044,"['tom selleck', 'laurie metcalf', 'angela bassett', 'nicole sullivan', 'harland williams'] stephen j. anderson ['saving the world', 'tyrannosaurus rex', 'adoption', 'future', 'time travel'] in this animated adventure, brilliant preteen inventor lewis creates a memory scanner to retrieve his earliest recollections and find out why his mother gave him up for adoption. but when the villainous bowler hat guy steals the machine, lewis is ready to give up on his quest until the mysterious wilbur robinson shows up on the scene, whisking lewis to the future to find the scanner and his mom. meet the robinsons  ['action', 'adventure', 'animation', 'children', 'comedy', 'sci-fi']"
1045,"['hilary swank', 'gerard butler', 'lisa kudrow', 'harry connick jr.', 'gina gershon'] richard lagravenese ['job-hopping', 'irland', 'shoe seller', 'letter', 'dying and death'] a young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life. p.s. i love you  ['comedy', 'drama', 'romance']"
1046,"['seth rogen', 'katherine heigl', 'leslie mann', 'paul rudd', 'jason segel'] judd apatow ['alcohol', 'one-night stand', 'bed', 'pregnancy and birth', 'condom'] for fun loving party animal ben stone, the last thing he ever expected was for his one night stand to show up on his doorstep eight weeks later to tell him she's pregnant. knocked up  ['comedy', 'drama', 'romance']"
1047,"['jim carrey', 'virginia madsen', 'logan lerman', 'danny huston', 'lynn collins'] joel schumacher ['suicide', 'based on novel', 'hotel room', 'obsession', 'sadomasochism'] walter sparrow is an animal control officer that becomes obsessed with a mysterious book that seems to be based on his own life. as soon as he opens the book, he notices strange parallels between what he reads and what he's experienced. but now he's worried that a fictional murder might materialize. number 23, the  ['drama', 'mystery', 'thriller']"
1048,"['rose mcgowan', 'naveen andrews', 'michael biehn', 'jeff fahey', 'josh brolin'] robert rodriguez ['loss of child', 'military base', 'gas', 'grindhouse', 'splatter'] two doctors find their graveyard shift inundated with townspeople ravaged by sores. among the wounded is cherry, a dancer whose leg was ripped from her body. as the invalids quickly become enraged aggressors, cherry and her ex-boyfriend wray lead a team of accidental warriors into the night. planet terror  ['action', 'horror', 'sci-fi']"
